"Trait" "Rep" "Acc.TotGen" "Model"
"205" "DM" 5 0.659649741524948 "GG_GBS"
"206" "DM" 6 0.681020523923563 "GG_GBS"
"207" "DM" 7 0.663967498452305 "GG_GBS"
"208" "DM" 8 0.669138860010572 "GG_GBS"
"209" "DM" 9 0.672370600247225 "GG_GBS"
"210" "DM" 10 0.654210931944803 "GG_GBS"
"211" "DM" 11 0.676085748787781 "GG_GBS"
"212" "DM" 12 0.668004241328277 "GG_GBS"
"213" "DM" 13 0.657403722331833 "GG_GBS"
"214" "DM" 14 0.663292352492064 "GG_GBS"
"215" "DM" 15 0.673446041771455 "GG_GBS"
"216" "DM" 16 0.652050392867667 "GG_GBS"
"217" "DM" 17 0.661221466303036 "GG_GBS"
"218" "DM" 18 0.676756236197561 "GG_GBS"
"219" "DM" 19 0.649833913315988 "GG_GBS"
"220" "DM" 20 0.671033527890591 "GG_GBS"
"221" "DM" 21 0.665928308547287 "GG_GBS"
"222" "DM" 22 0.671281554493095 "GG_GBS"
"223" "DM" 23 0.673978409170127 "GG_GBS"
"224" "DM" 24 0.664130595466545 "GG_GBS"
"225" "DM" 25 0.661343113345956 "GG_GBS"
"301" "logRTWT" 1 0.279769911356435 "GG_GBS"
"302" "logRTWT" 2 0.303558112290803 "GG_GBS"
"303" "logRTWT" 3 0.34483366196969 "GG_GBS"
"304" "logRTWT" 4 0.352421672744663 "GG_GBS"
"305" "logRTWT" 5 0.33167531608258 "GG_GBS"
"306" "logRTWT" 6 0.321254602129858 "GG_GBS"
"307" "logRTWT" 7 0.31067887267774 "GG_GBS"
"308" "logRTWT" 8 0.286135046249283 "GG_GBS"
"309" "logRTWT" 9 0.33648058528997 "GG_GBS"
"310" "logRTWT" 10 0.321156473605601 "GG_GBS"
"311" "logRTWT" 11 0.316204329845505 "GG_GBS"
"312" "logRTWT" 12 0.343032166036618 "GG_GBS"
"313" "logRTWT" 13 0.305829341888639 "GG_GBS"
"314" "logRTWT" 14 0.316492625052482 "GG_GBS"
"315" "logRTWT" 15 0.337844539696739 "GG_GBS"
